time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,24,10,0,0
2026-04-20 00:00:00+00:00,63,24,1,1
2026-04-21 00:00:00+00:00,59,23,0,0
2026-04-22 00:00:00+00:00,78,28,0,0
2026-04-23 00:00:00+00:00,55,21,0,0
2026-04-24 00:00:00+00:00,53,22,0,0
2026-04-25 00:00:00+00:00,39,15,0,0
2026-04-26 00:00:00+00:00,17,6,1,1
2026-04-27 00:00:00+00:00,11,4,0,0
2026-04-28 00:00:00+00:00,38,9,0,0
2026-04-29 00:00:00+00:00,24,10,0,0
2026-04-30 00:00:00+00:00,7,5,0,0
2026-05-01 00:00:00+00:00,28,7,1,1
