time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,2,2,1,1
2026-09-01 00:00:00+00:00,14,5,0,0
2026-09-02 00:00:00+00:00,6,4,0,0
2026-09-03 00:00:00+00:00,4,4,0,0
2026-09-04 00:00:00+00:00,18,9,1,1
2026-09-05 00:00:00+00:00,2,2,0,0
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,14,7,1,1
2026-09-08 00:00:00+00:00,14,7,0,0
2026-09-09 00:00:00+00:00,9,8,0,0
2026-09-10 00:00:00+00:00,19,13,0,0
2026-09-11 00:00:00+00:00,2,2,0,0
2026-09-12 00:00:00+00:00,14,7,0,0
2026-09-13 00:00:00+00:00,8,8,1,1
